Gene,SRR5886303,SRR5886304,SRR5886305,SRR5886306
ALOX15P1,2,0,10,3
ALOX5,35,6,1,2
ALOX5AP,9,4,2,0
ALOXE3,0,1,3,2
ALPG,0,0,6,3
ALPI,4,2,7456,7030
ALPK1,123,92,130,97
ALPK2,2580,2234,656,478
ALPK3,134,47,35,27
ALPL,30,9,34,33
ALPP,55,25,1383,1195
ALS2,2192,1819,1082,827
ALS2CL,132,54,314,272
ALX1,173,122,369,314
ALX3,0,0,0,0
ALX4,0,0,40,25
ALYREF,1816,622,3399,2720
AMACR,49,40,49,37
AMBN,0,0,0,0
AMBP,3,2,11,3
AMBRA1,1827,990,2085,1698
AMD1,9408,9548,8799,6895
AMDHD1,18,12,13,15
AMDHD2,124,26,235,232
AMELX,0,0,0,0
AMELY,0,0,0,0
AMER1,1126,646,2267,1839
AMER2,0,0,0,0
AMER3,0,0,0,0
AMFR,1910,1223,2118,1677
AMH,4,0,13,18
AMHR2,0,0,2,1
AMIGO1,469,290,273,182
AMIGO2,3453,3455,144,84
AMIGO3,19,3,55,39
AMMECR1,4893,5268,2269,1837
AMMECR1L,2673,1962,1570,1311
AMN,0,0,0,0
AMN1,120,111,148,104
AMOT,0,0,0,0
AMOTL1,6501,4903,5439,4301
AMOTL2,4769,3124,3239,2223
AMPD1,0,3,5,4
AMPD2,971,323,1637,1364
AMPD3,141,106,51,55
AMPH,0,0,0,0
AMT,9,13,5,5
AMTN,0,0,0,0
AMY1A,0,0,0,0
AMY1B,0,0,0,0
AMY1C,0,0,0,0
AMY2A,0,1,0,0
AMY2B,346,344,209,196
AMZ1,2,1,7,2
AMZ2,1054,900,887,583
AMZ2P1,66,99,50,34
ANAPC1,6217,5566,6392,4650
ANAPC10,580,658,421,301
ANAPC11,374,97,489,389
ANAPC13,1857,1813,1552,1271
ANAPC15,951,594,1086,879
ANAPC16,2598,2216,2617,2077
ANAPC1P1,9,15,5,2
ANAPC2,353,91,516,526
ANAPC4,1060,1072,1014,694
ANAPC5,6976,4742,7402,5778
ANAPC7,3897,2939,4336,3082
ANG,17,6,19,20
ANGEL1,949,486,1300,989
ANGEL2,1759,1696,1394,1093
ANGPT1,0,0,0,0
ANGPT2,1,0,0,0
ANGPT4,0,0,1,0
ANGPTL1,0,0,1,1
ANGPTL2,8,3,23,10
ANGPTL3,0,0,0,0
ANGPTL4,326,67,211,157
ANGPTL5,25,11,7,6
ANGPTL6,1,0,3,0
ANGPTL7,0,0,0,0
ANGPTL8,0,0,0,1
ANHX,0,0,0,0
ANK1,152,66,61,44
ANK2,1259,1034,27,13
ANK3,142,123,223,161
ANKAR,111,75,42,49
ANKDD1A,9,5,2,5
ANKDD1B,0,13,1,2
ANKEF1,693,648,962,639
ANKFN1,3,3,7,2
ANKFY1,3196,2061,2884,2570
ANKH,1448,885,4336,3847
ANKHD1,363,354,263,249
ANKHD1-EIF4EBP3,51,22,44,43
ANKIB1,3015,2787,2047,1667
ANKK1,0,0,0,0
ANKLE1,14,7,19,19
ANKLE2,5247,3599,3740,2927
ANKMY1,193,75,190,162
ANKMY2,442,415,762,508
ANKRA2,300,252,162,132
ANKRD1,818,995,126,31
ANKRD10,2255,1911,2269,1731
ANKRD11,2322,1685,1878,2227
ANKRD12,2291,2509,1584,1222
ANKRD13A,2722,2406,1533,1189
ANKRD13B,131,56,287,282
ANKRD13C,1729,1683,1467,1131
ANKRD13D,98,16,188,189
ANKRD16,112,73,277,197
ANKRD17,6598,5504,6387,5628
ANKRD18A,795,712,520,565
ANKRD18B,535,511,592,626
ANKRD18CP,75,59,34,32
ANKRD18DP,0,0,0,0
ANKRD19P,0,0,0,0
ANKRD2,29,5,79,37
ANKRD20A1,0,0,0,0
ANKRD20A11P,0,0,0,0
ANKRD20A12P,99,53,29,11
ANKRD20A19P,0,0,0,0
ANKRD20A2,0,0,0,0
ANKRD20A3,0,0,0,0
ANKRD20A4,0,0,0,0
ANKRD20A4-ANKRD20A20P,0,0,0,2
ANKRD20A5P,2,4,0,0
ANKRD20A8P,0,0,0,0
ANKRD20A9P,0,0,9,1
ANKRD22,4,2,0,2
ANKRD23,42,18,59,44
ANKRD24,3,0,1,3
