Gene,Normalized_count.SRR5886303,Normalized_count.SRR5886304,Normalized_count.SRR5886305,Normalized_count.SRR5886306
MSANTD3-TMEFF1,2.48971554107848,6.50652887212943,1.83924377772576,1.16371167883646
MSANTD4,1074.72720856554,1553.97597896024,905.827560529936,854.164372265963
MSC,3.31962072143797,5.42210739344119,0,0
MSC-AS1,238.182786763174,275.443055586812,28.5082785547493,32.5839270074209
MSGN1,0,1.08442147868824,0,0
MSH2,5402.68272414029,7159.35060229975,4686.39314564523,4516.36502556431
MSH2-OT1,20.7476295089873,14.0974792229471,20.2316815549833,23.2742335767292
MSH3,2109.61896847383,2609.1180777239,1651.64091239773,1666.43512409381
MSH4,31.5363968536607,14.0974792229471,25.7494128881606,31.4202153285845
MSH5,25.7270605911443,10.8442147868824,32.1867661102008,18.6193868613834
MSH5-SAPCD1,40.6653538376151,47.7145450622825,29.4279004436121,24.4379452555657
MSH6,7908.99636882596,10215.2503292432,8604.90201408996,7867.85466061332
MSI1,0,0,0,0
MSI2,1849.85864702131,2112.45304048469,2714.72381592322,3223.481350377
MSL1,2174.35157254187,2497.42266541901,2557.46847292767,2629.9883941704
MSL2,2265.64114238141,2699.12506045502,1484.26972862469,1440.67505839954
MSL3,1141.94952817466,1470.47552510125,1142.1703859677,1103.19867153697
MSL3P1,373.457331161771,477.145450622825,228.066228437994,265.326262774713
MSLN,92.1194750199036,34.7014873180236,311.751820324516,380.533718979523
MSMB,0,0,0,0
MSMO1,2244.89351287243,2897.57419105497,3478.92960556827,3219.99021534049
MSMP,1.65981036071898,2.16884295737648,1.83924377772576,2.32742335767292
MSN,16315.1059406873,14795.8466552223,14311.1558344841,13727.1429635549
MSR1,0,0,0,0
MSRA,278.848140600789,159.409957367171,199.557949883245,238.560894161475
MSRB1,43.1550693786936,22.772851052453,230.825094104583,237.397182482638
MSRB2,108.717578627093,130.130577442589,160.014208662141,121.026014598992
MSRB3,2072.27323535765,2334.75944361578,883.756635197227,955.407288324735
MSS51,109.547483807453,81.3316109016178,69.8912635535788,74.4775474455336
MST1,12.4485777053924,3.25326443606471,11.0354626663546,15.128251824874
MST1L,4.97943108215695,2.16884295737648,3.67848755545152,1.16371167883646
MST1P2,18.2579139679088,8.6753718295059,13.7943283329432,12.8008284672011
MST1R,5.80933626251644,3.25326443606471,11.9550845552174,25.6016569344022
MSTN,0,0,0,0
MSTO1,255.610795550724,155.072271452418,272.208079103412,252.525434307512
MSTO2P,139.424070300395,90.0069827311237,130.586308218529,114.043744525973
MSX1,41.4952590179746,44.4612806262178,125.988198774214,144.300248175721
MSX2,108.717578627093,72.6562390721119,34.9456317767894,31.4202153285845
MSX2P1,0,0,0,0
MT1A,0,0,0,0
MT1B,0,0,0,0
MT1DP,0,1.08442147868824,0,0
MT1E,659.774618385796,451.119335134307,1912.81352883479,1880.55807299972
MT1F,0,4.33768591475295,4.5981094443144,1.16371167883646
MT1G,0,0,0,0
MT1H,0,0,0,0
MT1HL1,0,0,0,0
MT1IP,0,0,0,0
MT1JP,0,0,0,0
MT1L,0,0,0,0
MT1M,0,1.08442147868824,0,0
MT1X,47.304595280491,8.6753718295059,257.494128881606,217.614083942418
MT2A,625.748505991057,358.943509445807,1385.87018651636,1591.95757664828
MT3,0,0,0,0
MT4,0,0,0,0
MTA1,692.140920419816,358.943509445807,770.643142867093,949.588729930553
MTA2,7432.63079529961,5752.8559444411,7585.96096122989,7345.34811681575
MTA3,717.867981010961,845.848753376825,751.331083200972,759.90372628021
MTAP,4435.84318902148,5416.68528604775,3863.33155511296,3879.81473724076
MTARC1,677.202627173345,681.016688616213,4721.33877742202,4644.37331023632
MTARC2,303.745296011574,284.118427416318,425.784934543513,415.445069344617
MTBP,1785.12604295327,2284.87605559612,1510.93876340171,1436.02021168419
MTCH1,4519.66361223779,2988.66559526478,4973.31517497045,4985.3408321354
MTCH2,5972.82758304726,7091.03204914239,5923.28458616581,5273.94132848685
MTCL1,614.129833466024,506.424830547407,1105.38551041318,1242.84407299734
MTCP1,63.0727937073214,116.033098219641,87.3640794419735,76.8049708032065
MTDH,8470.01227074897,10851.8057372332,8073.36056232722,8697.58108762372
MTERF1,216.605252073827,267.852105235995,228.985850326857,190.84871532918
MTERF2,180.08942413801,227.72851052453,183.924377772576,172.229328467796
MTERF3,715.378265469882,917.420570970249,727.420914090537,652.842251827255
